Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.3185559967348,6.12846695022316,7.13154104672929,6.44416917103214
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.34225013023383,4.20911189491323,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,72.4,..,..,..,..,..,..,70.1,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,33.1873915714789,34.4321395694616,40.4276279370297,37.9322482578709,38.8683983871173,..,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2967.37655805218,3074.70207056563,..,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1967.02167752077,2029.92282543737,..,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462,16.6108723998011,18.0342289894963,16.7780368212333
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,150225027402.1,153793761987.6,177184603465.6,181638508190.7,225925335186.1,277827089406.2,280684783388,255558142878.8,246306711414,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.322,2.312,2.301,2.241,2.168,2.039,1.994,1.911,1.885,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4884127675.95708,6902840207.74343,15408346793.7001
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,295438,293204,290970,290100,288990,287910,286810,285730,284636.667,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,552025140252.246,526319673731.638,594749285413.212,557532317363.451,643628396190.388,524819898586.906,447754686715.081,385540406815.599,487227125385.641,632770284408.51
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.94323513446069,10.3982494646904,5.2430444992488
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12870,12350,12600,12220,13140,12430,11220,9010,9960,11620
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19700,19280,19730,19860,22990,22460,22100,20250,23280,26030
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,543284042583.172,526784533341.896,543279945580.356,532504166136.29,578798149099.742,553193026132.299,504056288864.965,408849256733.706,456139454397.529,537019748594.914
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,831394119040.572,822682190494.641,850943025662.517,865728756878.777,1012802784987.51,999477911340.463,993329077050.985,918808241581.087,1066236039957.51,1203497308940.73
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.2125671747754,16.6138850156371,14.2100303992191,14.1305954579395,17.4742275142009,17.3050746478693
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.45807793886144,7.06113037765277,9.22569178201485,8.98239130251102,9.2054192542743,5.40298410981277,5.21279058881723,6.90388925607922,4.42289139264312,..
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,95,89,90,89,94,86,77,81,..
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9693177780045,16.3258502050892,14.7057366680037,13.6089274859868,14.9452529001736,15.2982909529659
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,5.1,..,4.9,5.1,5,4.7,4.8,5.1,..
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,24.0058814423072,24.2773944936602,23.153056135905,22.0541072112108,21.782123219335,23.7195923321304,23.1578477391434,22.1805729052757,23.5794730059849,23.4032965023379
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,23.9487984162746,40.2829716315506,26.5799916024707,41.1193799882279,26.0063792819079,42.0336689575031,49.1955790596612,40.0768830264559,54.1524119419346,69.6828609147885
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,..
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,27.2460417167365,25.4864119079835,19.6703052646326,20.4045570915021,19.5114138442786,24.2488900178251,25.5139707946137,25.2212215064939,28.963904644739,26.8607746267476
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.837736430159436,0.878100919364039,0.850128583186764,0.813140077928875,0.856137916373543,0.732300347538541,0.699696134379197,0.734492612232545,0.630928835372215,0.411211298762518
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,158.9154655,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.7,12.2,11.6,11,10.3,9.5,8.6,7.7,6.9,..
Argentina,ARG,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,106.9382505007,104.7441527521,100,106.0819485843,103.0075883754,104.24246564,103.3360441909,103.9751808948,113.8988462454,..
Argentina,ARG,Net migration,SM.POP.NETM,5369,5801,5522,5215,4926,4690,4478,2344,2344,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,34729999.5422363,48790000.9155273,-18870000.8392334,2619999.88555908,-1169999.95708466,73220001.2207031,8890000.34332275,101699996.948242,153529998.779297,..
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,535004409.367289,505346891.730357,494433532.139966,391579047.663514,479937459.808431,522441503.008565,561398444.719758,648090050.021815,901123183.017933,1267449071.25346
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147,16.7387416916056,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,0.970053991438048,0.947490959333989,0.925835473662058
Argentina,ARG,"Population, total",SP.POP.TOTL,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.6,0.6,..,0.7,0.4,0.8,0.8,1.1,1,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,30.3,25.7,32,35.5,42,37.3,39.2
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,2,..,..,..,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.374931335449,105.392601013184,106.053131103516,106.544448852539,101.581809997559,100.281806945801,100.38289642334,103.837791442871,105.479530334473,..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,21.5652829643596,22.3322943705014,22.1490803040164,21.2567013071388,19.3371239744582,17.7024483876111,18.7362995826707,17.487774002472,18.0518995263818,..
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,114.509239196777,113.961883544922,113.778198242188,112.944267272949,111.681457519531,111.545608520508,111.36531829834,110.617813110352,110.156112670898,..
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.03136003017426,1.03122997283936,1.02838003635406,1.02081000804901,1.01962995529175,1.02131998538971,1.02056002616882,1.0242600440979,..,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.596748352051,106.092132568359,107.549072265625,109.645942687988,110.412406921387,109.696998596191,110.498527526855,112.416679382324,116.559448242188,..
Argentina,ARG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,76.6666666666667,83.3333333333333,95.5555666666667,88.8889,85.5555666666667,81.1111,80,78.8889,..,..
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.4529027558077,12.6109666067191,12.3365069418291,12.0972836411962,10.939623860491,9.99239008384335,10.5943975145081,10.8715360069805,11.4844172195763,..
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,7.52859334896618,7.40512875012761,7.40512875012761,9.39316507147205,9.39797629654303,9.39797629654303,9.55264564367104
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,24.5,24.5,24.5,24.5,24.5,11,11.5,..,..,..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,17.1374562078243,20.1697253607257,24.733642858859,34.9283398192354,51.7302547597257,51.5485845475577,50.8330976382054,42.949965730955,28.8322586725182,..
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431,1.14760215897919,1.12501972603644,1.10041505272326,1.07551503856124,1.0536956642987
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,15.059,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.28565217787462,2.22088493848043,2.37595522714462,2.40453009222111,2.70322055368689,2.45811026057792,2.11618847711384,2.01210323364172,2.30660266032948,3.17268869332033
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,3.89186991869919,3.75264227642276,1.8739837398374,2.15914634146341,2.45094336788618,2.50609756097561,2.14024390243902,1.75609756097561,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99,99.8,98.8,98.8,99.4,98.7,98.8,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.7945880965987,16.1557451398864,16.1984582210401,16.3203306101751,16.1480905133657,15.8635624340846,15.595726745355,14.7726575989848,..,..
Australia,AUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,66.9,..,..,..,..,..,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10220.8873013463,10071.3989785006,..,..,..,..,..,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5468.39136879598,5334.68167873774,5483.81640154023,..,..,..,..,..,..,..
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.9857077588126,21.0963738828485,20.0680710032927,19.272258011581,21.231183492644,21.8734041196439,24.1515391092117,24.0082830210698,22.0751685117277,25.8121626590318
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.855,1.826,1.814,1.752,1.741,1.74,1.657,1.581,1.7,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,54465480054.6771,63202728079.4529,46892808567.8516,42969505135.1666,48198614234.959,60685908478.4727,38959497519.9391,15307363569.8504,24834777276.6016,67118916306.937
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051,1340051,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1576329690003.93,1467589901175.46,1350580336316.75,1206562910556.58,1326467487376.42,1428266513154.48,1392218527563.26,1326944627876.87,1552703151616.01,1675418665067.09
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.57875428825342,2.57901711177597,2.1527359059391,2.73054799209893,2.28218364248465,2.88304512347683,2.1713962244835,-0.0508853360838941,2.23621243944461,3.61758857230203
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,66050,65190,60480,54080,51490,53100,54900,53620,57170,60430
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,44770,45660,45310,46140,47090,48620,50180,51870,55330,60350
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1527711053404.71,1530269173329.85,1440498499677.52,1308220489392.94,1266287055350.69,1325689390985.48,1391275155302.65,1375749029223.26,1468514493651.68,1569896208558.71
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1035357049815.39,1071860785176.34,1079145492508.27,1116114404243.41,1158055244042.01,1213931146767.25,1271445657756.03,1330825237042.61,1421242240487.21,1567955836139.97
